日期,期數,類別,組合號碼,出現次數
2026-03-02,406,2連號,02 03,144
2026-03-02,406,2連號,01 02,95
2026-03-02,406,2連號,03 04,91
2026-03-02,406,2連號,07 08,85
2026-03-02,406,2連號,09 10,82
2026-03-02,406,2連號,04 05,81
2026-03-02,406,2連號,08 09,76
2026-03-02,406,2連號,10 11,72
2026-03-02,406,2連號,06 07,68
2026-03-02,406,2連號,05 06,67
2026-03-02,406,2連號,14 15,64
2026-03-02,406,2連號,29 30,64
2026-03-02,406,2連號,33 34,64
2026-03-02,406,2連號,13 14,63
2026-03-02,406,2連號,53 54,62
2026-03-02,406,2連號,65 66,62
2026-03-02,406,2連號,69 70,62
2026-03-02,406,2連號,42 43,60
2026-03-02,406,2連號,32 33,60
2026-03-02,406,2連號,59 60,60
2026-03-02,406,3連號,02 03 04,83
2026-03-02,406,3連號,01 02 03,73
2026-03-02,406,3連號,03 04 05,64
2026-03-02,406,3連號,07 08 09,63
2026-03-02,406,3連號,04 05 06,60
2026-03-02,406,3連號,08 09 10,58
2026-03-02,406,3連號,09 10 11,57
2026-03-02,406,3連號,05 06 07,56
2026-03-02,406,3連號,06 07 08,56
2026-03-02,406,3連號,32 33 34,54
2026-03-02,406,3連號,27 28 29,52
2026-03-02,406,3連號,28 29 30,52
2026-03-02,406,3連號,68 69 70,52
2026-03-02,406,3連號,12 13 14,51
2026-03-02,406,3連號,72 73 74,51
2026-03-02,406,3連號,10 11 12,50
2026-03-02,406,3連號,11 12 13,50
2026-03-02,406,3連號,35 36 37,50
2026-03-02,406,3連號,51 52 53,50
2026-03-02,406,3連號,53 54 55,50
2026-03-02,406,2同出,02 03,144
2026-03-02,406,2同出,02 04,107
2026-03-02,406,2同出,02 10,103
2026-03-02,406,2同出,02 08,100
2026-03-02,406,2同出,01 02,95
2026-03-02,406,2同出,02 05,95
2026-03-02,406,2同出,02 07,92
2026-03-02,406,2同出,03 04,91
2026-03-02,406,2同出,03 08,90
2026-03-02,406,2同出,02 09,88
2026-03-02,406,2同出,08 10,87
2026-03-02,406,2同出,03 10,85
2026-03-02,406,2同出,07 08,85
2026-03-02,406,2同出,09 10,82
2026-03-02,406,2同出,03 05,81
2026-03-02,406,2同出,04 05,81
2026-03-02,406,2同出,04 08,80
2026-03-02,406,2同出,02 06,78
2026-03-02,406,2同出,03 07,78
2026-03-02,406,2同出,02 80,77
2026-03-02,406,3同出,02 03 04,83
2026-03-02,406,3同出,02 03 08,81
2026-03-02,406,3同出,02 03 10,80
2026-03-02,406,3同出,02 03 05,75
2026-03-02,406,3同出,01 02 03,73
2026-03-02,406,3同出,02 04 05,71
2026-03-02,406,3同出,02 03 07,71
2026-03-02,406,3同出,01 02 04,70
2026-03-02,406,3同出,02 04 08,69
2026-03-02,406,3同出,02 03 06,69
2026-03-02,406,3同出,03 04 08,67
2026-03-02,406,3同出,02 03 09,67
2026-03-02,406,3同出,03 04 05,64
2026-03-02,406,3同出,02 07 08,64
2026-03-02,406,3同出,02 05 07,63
2026-03-02,406,3同出,07 08 09,63
2026-03-02,406,3同出,02 08 10,62
2026-03-02,406,3同出,03 04 06,62
2026-03-02,406,3同出,05 07 08,62
2026-03-02,406,3同出,02 03 80,62
